
当前城市: 扬州, 下一城市: 盘锦, 高铁费用: 599.22, 门票费: 35.00, 累计费用: 1338.74, 累计时间: 11.98, 景点: 文笔峰道家文化苑
当前城市: 盘锦, 下一城市: 雄安新区, 高铁费用: 345.77, 门票费: 2.00, 累计费用: 1686.50, 累计时间: 14.90, 景点: 中山码头Zhongshan Ferry Terminal
当前城市: 雄安新区, 下一城市: 常州, 高铁费用: 529.24, 门票费: 25.00, 累计费用: 2240.74, 累计时间: 19.84, 景点: 张果老山Zhang Guolao Mountain
当前城市: 常州, 下一城市: 佛山, 高铁费用: 712.66, 门票费: 20.00, 累计费用: 2973.41, 累计时间: 25.80, 景点: 天际岭国家森林公园
当前城市: 佛山, 下一城市: 阿里, 高铁费用: 2039.89, 门票费: 45.00, 累计费用: 5058.29, 累计时间: 109.13, 景点: 九宫山Jiugong Mountains
当前城市: 阿里, 下一城市: 安康, 高铁费用: 1620.60, 门票费: 58.00, 累计费用: 6736.90, 累计时间: 121.63, 景点: 保亭常青茶溪谷Baoting Evergreen Tea Valley
当前城市: 安康, 下一城市: 铜仁, 高铁费用: 330.29, 门票费: 27.00, 累计费用: 7094.19, 累计时间: 124.97, 景点: 南山一棵树观景台Nanshan Tree Viewing Platform
当前城市: 铜仁, 下一城市: 白山, 高铁费用: 1332.66, 门票费: 0.50, 累计费用: 8427.35, 累计时间: 133.87, 景点: 南溪山景区Nanxi Mountain Scenic Area
当前城市: 白山, 下一城市: 酒泉, 高铁费用: 1411.19, 门票费: 33.00, 累计费用: 9871.54, 累计时间: 144.21, 景点: 团山村Tuanshan Village
当前城市: 长治, 下一城市: 百色, 高铁费用: 901.41, 门票费: 160.00, 累计费用: 1061.41, 累计时间: 5.76, 景点: 仙峰寺Xianfeng Temple
当前城市: 百色, 下一城市: 大理, 高铁费用: 408.99, 门票费: 10.00, 累计费用: 1480.40, 累计时间: 9.03, 景点: 中山陵音乐台
当前城市: 大理, 下一城市: 常德, 高铁费用: 718.54, 门票费: 70.00, 累计费用: 2268.94, 累计时间: 17.02, 景点: 七星岩景区
当前城市: 常德, 下一城市: 那曲, 高铁费用: 1139.59, 门票费: 60.00, 累计费用: 3468.53, 累计时间: 35.35, 景点: 五华山旅游区Wuhuashan
当前城市: 那曲, 下一城市: 北屯, 高铁费用: 1082.76, 门票费: 128.00, 累计费用: 4679.29, 累计时间: 42.87, 景点: 张家界大峡谷景区（玻璃桥）Zhangjiajie Grand Canyon Glass Bridge
当前城市: 北屯, 下一城市: 玉林, 高铁费用: 2036.58, 门票费: 55.00, 累计费用: 6770.86, 累计时间: 57.68, 景点: 广西龙虎山风景区Longhushan Nature Reserve
当前城市: 玉林, 下一城市: 苏州, 高铁费用: 844.87, 门票费: 10.00, 累计费用: 7625.74, 累计时间: 63.88, 景点: 大悲山灵音禅寺
当前城市: 衡水, 下一城市: 吉林市, 高铁费用: 682.84, 门票费: 370.00, 累计费用: 1052.84, 累计时间: 4.54, 景点: 四姑娘山长坪沟景区Changping Valley
当前城市: 吉林市, 下一城市: 潮州, 高铁费用: 1452.07, 门票费: 50.00, 累计费用: 2554.90, 累计时间: 15.11, 景点: 九真山风景区Jiuzhen Mountain Scenic Area
当前城市: 潮州, 下一城市: 巴中, 高铁费用: 799.62, 门票费: 10.00, 累计费用: 3364.53, 累计时间: 23.05, 景点: 仙岩Xianyan
当前城市: 巴中, 下一城市: 西安, 高铁费用: 206.54, 门票费: 139.00, 累计费用: 3710.07, 累计时间: 26.70, 景点: 博山开元溶洞Kaiyuan Karst Cave in Boshan
当前城市: 西安, 下一城市: 阿里, 高铁费用: 1605.27, 门票费: 45.00, 累计费用: 5360.34, 累计时间: 107.62, 景点: 九宫山Jiugong Mountains
当前城市: 阿里, 下一城市: 云浮, 高铁费用: 1981.51, 门票费: 50.00, 累计费用: 7391.85, 累计时间: 122.13, 景点: 仙华山景区Xianhua Mountain
