名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page,城市,出发城市,到达城市,高铁时间,高铁费用
石龙山,http://travel.qunar.com/p-oi722435-shilongshan,",七台河
,七台河
地址:,七台河
七台河市茄子河区铁山乡境内,七台河
,七台河
",国家AA级旅游区石龙山国家森林公园位于七台河市茄子河区铁山乡境内，石龙峰海拔746.8米，是七台河东部海拔最高的山峰。森林公园内森林资源丰富，生长着珍贵的参天古树和优质的黄波罗、水曲柳、山槐、紫、柞、桦、榆、柳等树种，属典型的针阔叶混交天然林，也是一片至今保留比较完整的原始森林。公园共分林海揽胜区、石龙湖景区、餐饮服务区三大区域，有百年桦苑、千年橡园、万年榆林、聚仙阁、猎户人家、观景亭、爱晚亭、观景长廊、鹏跃湾、葫芦岛山庄、龙泉寺、石龙湖等景点。独特的...国家AA级旅游区石龙山国家森林公园位于七台河市茄子河区铁山乡境内，石龙峰海拔746.8米，是七台河东部海拔最高的山峰。森林公园内森林资源丰富，生长着珍贵的参天古树和优质的黄波罗、水曲柳、山槐、紫、柞、桦、榆、柳等树种，属典型的针阔叶混交天然林，也是一片至今保留比较完整的原始森林。公园共分林海揽胜区、石龙湖景区、餐饮服务区三大区域，有百年桦苑、千年橡园、万年榆林、聚仙阁、猎户人家、观景亭、爱晚亭、观景长廊、鹏跃湾、葫芦岛山庄、龙泉寺、石龙湖等景点。独特的地形地貌和别具特色的建筑以及丰富的植被，是开展漂流、攀岩、登山、滑雪、狩猎的理想场所，是户外郊流、休闲、避署的绝佳之处。,8:00--17:00,,3.7,,,15元,,1,七台河,广州,七台河,9.93172796370171,1489.7591945552565
七台河市博物馆,http://travel.qunar.com/p-oi36258422-qitaiheshibowuguan,,,,,4.5,,,具体收费情况以现场公示为主,,1,七台河,广州,七台河,9.93172796370171,1489.7591945552565
七台河烈士陵园Qitaihe Martyrs Cemetery,http://travel.qunar.com/p-oi24409921-qitaihelieshilingyuan,",七台河
,七台河
地址:,七台河
黑龙江省七台河市桃山区辖区,七台河
,七台河
",,全年 全天开放,,4.5,,,具体收费情况以现场公示为主,,1,七台河,广州,七台河,9.93172796370171,1489.7591945552565
勃利森林公园Boli Forest Park,http://travel.qunar.com/p-oi20952570-bolisenlingongyuan,,地处勃利县西南方，主景区面积9200公顷，生态特点极为突出，在山间沟谷中，植被随着海拔的变化而变化，沼泽湿地溪水川流，多生有连生植物群。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/bcc0717eec126740d32cebc458ff4b41.jpg_480x360x95_65a3c183.jpg,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,2,七台河,广州,七台河,9.93172796370171,1489.7591945552565
新发古城遗址Xinfa Ancient City Ruins,http://travel.qunar.com/p-oi20949560-xinfaguchengyizhi,",七台河
,七台河
地址:,七台河
黑龙江省勃利县县西北,七台河
,七台河
",,全年 全天开放,,4.5,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,2,七台河,广州,七台河,9.93172796370171,1489.7591945552565
勃利密塞Bolimi Fortress,http://travel.qunar.com/p-oi20946530-bolimisai,",七台河
,七台河
地址:,七台河
黑龙江省勃利县县西北 154604,七台河
,七台河
",勃利密塞坐落在黑龙江省七台河市勃利县城区西北约三公里处的丛山密林之中，占地大约有47.4平方公里，建于1940年左右。它其周边有互助、荣光、吉兴、双河和勃利东山等五座军用机场，地理位置十分优越。,全年 8:00-17:00,https://flight-feed.qunarzz.com/as3/426/image/poi_vishnu/0c8230ec-82f4-4634-b977-7851aa295be7.jpg,0.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,2,七台河,广州,七台河,9.93172796370171,1489.7591945552565
勃利硅化木群Petrified Woods,http://travel.qunar.com/p-oi20943519-boliguihuamuqun,",七台河
,七台河
地址:,七台河
黑龙江省勃利县县东南,七台河
,七台河
",硅化木又称古树化石，是侏罗纪时期遗留下的远古瑰宝，具有极高的观赏、考古和科普价值。,全年 全天开放,,4.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,2,七台河,广州,七台河,9.93172796370171,1489.7591945552565
茄子河大砬子峰Qiezihe Dalizi Peak,http://travel.qunar.com/p-oi20937415-qiezihedalazifeng,,茄子河大砬子峰主峰为风化岩石，陡峭狭长，山上怪石林立，形似各种动物，壮观不已。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/dd65892d9ca8202c0f30a1e97c2776ec.jpg_480x360x95_93cfe546.jpg,4.7,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,2,七台河,广州,七台河,9.93172796370171,1489.7591945552565
亿达广场Yida Square,http://travel.qunar.com/p-oi19977507-yidaguangchang,,,,,5.0,,,具体收费情况以现场公示为主,,2,七台河,广州,七台河,9.93172796370171,1489.7591945552565
极灵寺Jiling Temple,http://travel.qunar.com/p-oi19968223-jilingsi,,极灵寺坐落在翠绿的万丛中，犹如一颗璀璨的明珠。寺庙有万佛殿、钟楼、观音殿、地藏殿等。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/0877544d1d5072861f722db23597a263.jpg_480x360x95_67f2b4a7.jpg,4.5,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,2,七台河,广州,七台河,9.93172796370171,1489.7591945552565
