名字,开放时间,评分,建议游玩时间,门票,城市,出发城市,到达城市,高铁时间,高铁费用
五指山Wuzhishan,7:30-16:00,5.0,2.5,0.0,三亚,广州,三亚,2.2215185683331224,369.8828416274649
孙中山故居纪念馆Sun Yat-Sen Memorial Hall,09:00-17:30,4.6,2.5,0.5,中山,广州,中山,0.23056737707542227,38.38946828305781
雪山峡谷演艺公园Snow Mountain Canyon Park,8:00-17:30,4.8,1.5,800.0,丽江,广州,丽江,4.595937928286846,765.2236650597598
石花水洞Shihua Water Tunnel,09:00-17:00,4.5,1.5,60.0,儋州,广州,儋州,1.8423158137009514,306.74558298120843
红螺寺Hongluo Temple,08:30-17:00,4.8,3.5,54.0,北京,广州,北京,6.278332460722887,1045.3423547103607
阆中古城地质矿物博览馆Langzhong Ancient City Geological Exhibition Hall,09:00-18:00,4.9,2.5,45.0,南充,广州,南充,3.7067258066387345,617.1698468053494
石梁飞瀑Shiliang Waterfall,8:00-16:00,4.7,3.0,50.0,台州,广州,台州,3.4024839886892013,566.5135841167521
乌素图召Wusutuzhao Temples,8:00-18:00,4.8,2.5,5.0,呼和浩特,广州,呼和浩特,6.5646082256418765,1093.0072695693725
印象林花生态谷Impression Linhua Ecological Valley,9:00-16:30,4.5,2.5,60.0,咸宁,广州,咸宁,2.503737390138018,416.87227545798004
内城Neicheng,8:30-18:00,4.5,1.0,120.0,嘉峪关,广州,嘉峪关,7.752721151029461,1290.8280716464053
张家花园Zhangjia Garden,8:00-19:00,5.0,1.5,80.0,大理,广州,大理,4.4875824094691685,747.1824711766167
天柱山Tianzhu Mountain,7:00-17:30,4.7,108.0,130.0,安庆,广州,安庆,2.9993232719684815,499.3873247827522
天井峡景区Tianjing Gorge Scenic Area,7:00-18:00,4.6,12.0,20.0,定西,广州,定西,5.377636241103798,895.3764341437824
龙王洞Longwang Cave,08:30-16:30,4.7,1.0,50.0,常德,广州,常德,2.2449029804238347,373.7763462405685
中山纪念堂Sun Yat-Sen Memorial,09:00-17:30,4.7,2.5,138.0,广州,,,,
神农溪纤夫文化走廊Shennong Stream Qianfu Cultural Tourism Area,08:30-17:30,4.4,2.75,95.0,恩施,广州,恩施,2.9198593509434443,486.1565819320835
惠州西湖Huizhou West Lake,8:00-21:00,4.6,12.0,4.0,惠州,广州,惠州,0.39353529383156577,65.5236264229557
成都爱道堂,8:30-17:00,5.0,1.5,0.0,成都,广州,成都,4.100682257567443,682.7635958849793
