来源城市	AQI	绿化覆盖率 (%)	废水处理率 (%)	废气处理率 (%)	垃圾分类处理率 (%)	历史遗迹数量	博物馆数量
阿坝	50	36	88	85	73	14	5
阿克苏	45	34	86	83	70	12	4
阿拉尔	49	33	87	84	72	13	5
阿勒泰	50	36	88	85	73	14	5
阿里	48	37	89	86	74	12	5
安康	46	35	87	84	72	13	5
安庆	42	38	90	88	78	25	10
安顺	45	34	86	82	70	12	4
安阳	49	33	87	84	72	13	5
鞍山	50	36	88	85	73	14	5
巴彦淖尔	45	30	85	80	70	10	4
巴音郭楞	33	30	85	80	70	10	4
巴中	60	32	87	83	72	15	6
白城	55	34	89	84	74	18	7
白沙	48	36	88	85	73	14	5
白山	49	40	90	85	75	12	5
白银	52	35	85	80	70	10	4
百色	60	32	87	83	72	15	6
蚌埠	44	35	85	80	70	15	6
包头	52	40	90	85	75	20	8
宝鸡	49	38	88	84	73	18	7
保定	55	32	87	83	72	15	6
保山	50	36	88	85	73	14	5
保亭	48	37	89	86	74	12	5
北海	46	35	87	84	72	13	5
北京	42	38	90	88	78	25	10
北屯	45	34	86	82	70	12	4
本溪	49	33	87	84	72	13	5
毕节	50	36	88	85	73	14	5
滨州	34	35	87	84	72	15	6
亳州	40	34	86	83	70	12	4
博尔塔拉	45	38	89	86	75	18	7
沧州	50	36	88	85	73	14	5
昌吉	48	37	89	86	74	12	5
昌江	46	35	87	84	72	13	5
常德	42	38	90	88	78	25	10
常州	45	34	86	82	70	12	4
巢湖	49	33	87	84	72	13	5
朝阳	50	36	88	85	73	14	5
潮州	48	37	89	86	74	12	5
郴州	46	35	87	84	72	13	5
成都	42	38	90	88	78	25	10
承德	45	34	86	82	70	12	4
澄迈	49	33	87	84	72	13	5
赤峰	50	36	88	85	73	14	5
崇左	48	37	89	86	74	12	5
滁州	46	35	87	84	72	13	5
楚雄州	42	38	90	88	78	25	10
达州	45	34	86	82	70	12	4
大理	31	38	90	88	78	25	10
大连	52	34	86	82	70	12	4
大庆	49	33	87	84	72	13	5
大同	50	36	88	85	73	14	5
大兴安岭	48	37	89	86	74	12	5
丹东	46	35	87	84	72	13	5
儋州	42	38	90	88	78	25	10
德宏	45	34	86	82	70	12	4
德阳	49	33	87	84	72	13	5
德州	50	36	88	85	73	14	5
迪庆	48	37	89	86	74	12	5
定安	46	35	87	84	72	13	5
定西	42	38	90	88	78	25	10
东方	45	34	86	82	70	12	4
东莞	49	33	87	84	72	13	5
东营	50	36	88	85	73	14	5
鄂尔多斯	48	37	89	86	74	12	5
鄂州	46	35	87	84	72	13	5
恩施	42	38	90	88	78	25	10
防城港	45	34	86	82	70	12	4
佛山	49	33	87	84	72	13	5
福州	18	40	92	89	80	20	8
抚顺	42	35	88	84	73	15	6
抚州	44	34	86	83	70	12	4
阜新	45	38	89	86	75	18	7
阜阳	50	36	88	85	73	14	5
甘孜	47	35	85	80	70	10	4
赣州	50	32	87	83	72	15	6
固原	52	34	86	82	70	12	4
广安	49	33	87	84	72	13	5
广元	50	36	88	85	73	14	5
广州	48	37	89	86	74	12	5
贵港	46	35	87	84	72	13	5
贵阳	42	38	90	88	78	25	10
桂林	45	34	86	82	70	12	4
哈尔滨	49	33	87	84	72	13	5
哈密	50	36	88	85	73	14	5
海口	48	37	89	86	74	12	5
汉中	46	35	87	84	72	13	5
杭州	42	38	90	88	78	25	10
合肥	45	34	86	82	70	12	4
和田	49	33	87	84	72	13	5
河池	50	36	88	85	73	14	5
河源	48	37	89	86	74	12	5
菏泽	46	35	87	84	72	13	5
贺州	42	38	90	88	78	25	10
鹤壁	50	36	88	85	73	14	5
鹤岗	45	34	86	83	70	12	4
黑河	49	33	87	84	72	13	5
衡水	50	36	88	85	73	14	5
衡阳	48	37	89	86	74	12	5
红河	46	35	87	84	72	13	5
呼和浩特	42	38	90	88	78	25	10
呼伦贝尔	45	34	86	82	70	12	4
葫芦岛	49	33	87	84	72	13	5
湖州	50	36	88	85	73	14	5
怀化	48	37	89	86	74	12	5
淮安	50	36	88	85	73	14	5
淮北	45	34	86	83	70	12	4
淮南	49	33	87	84	72	13	5
黄冈	50	36	88	85	73	14	5
黄山	48	37	89	86	74	12	5
黄石	46	35	87	84	72	13	5
惠州	42	38	90	88	78	25	10
鸡西	45	34	86	82	70	12	4
吉安	49	33	87	84	72	13	5
吉林市	50	36	88	85	73	14	5
济南	48	37	89	86	74	12	5
济宁	46	35	87	84	72	13	5
济源	42	38	90	88	78	25	10
佳木斯	55	35	87	84	73	15	6
嘉兴	48	37	89	86	74	12	5
嘉峪关	42	38	90	88	78	25	10
江门	45	34	86	82	70	12	4
焦作	49	33	87	84	72	13	5
揭阳	50	36	88	85	73	14	5
金昌	48	37	89	86	74	12	5
金华	46	35	87	84	72	13	5
晋城	42	38	90	88	78	25	10
晋中	45	34	86	82	70	12	4
荆州	61	36	88	85	73	14	5
景德镇	45	34	86	83	70	12	4
九江	49	33	87	84	72	13	5
酒泉	50	36	88	85	73	14	5
喀什	48	37	89	86	74	12	5
开封	46	35	87	84	72	13	5
可克达拉	42	38	90	88	78	25	10
克拉玛依	45	34	86	82	70	12	4
克孜勒苏柯尔克孜	49	33	87	84	72	13	5
昆明	50	36	88	85	73	14	5
拉萨	35	38	90	88	78	20	5
来宾	50	36	88	85	73	14	5
莱芜	45	34	86	83	70	12	4
兰州	49	33	87	84	72	13	5
廊坊	50	36	88	85	73	14	5
乐东	48	37	89	86	74	12	5
乐山	46	35	87	84	72	13	5
丽江	42	38	90	88	78	25	10
丽水	45	34	86	82	70	12	4
连云港	49	33	87	84	72	13	5
凉山	68	38	90	88	78	20	5
辽阳	50	36	88	85	73	14	5
辽源	45	34	86	83	70	12	4
聊城	49	33	87	84	72	13	5
林芝	50	36	88	85	73	14	5
临沧	48	37	89	86	74	12	5
临汾	46	35	87	84	72	13	5
临高	42	38	90	88	78	25	10
临沂	45	34	86	82	70	12	4
陵水	49	33	87	84	72	13	5
柳州	50	36	88	85	73	14	5
六安	58	36	88	85	73	14	5
六盘水	49	33	87	84	72	13	5
龙岩	50	36	88	85	73	14	5
陇南	48	37	89	86	74	12	5
娄底	46	35	87	84	72	13	5
泸州	42	38	90	88	78	25	10
洛阳	45	34	86	82	70	12	4
漯河	49	33	87	84	72	13	5
吕梁	50	36	88	85	73	14	5
马鞍山	48	37	89	86	74	12	5
茂名	46	35	87	84	72	13	5
眉山	44	36	88	85	73	15	6
梅州	45	34	86	83	70	12	4
绵阳	49	33	87	84	72	13	5
牡丹江	50	36	88	85	73	14	5
那曲	48	37	89	86	74	12	5
南昌	46	35	87	84	72	13	5
南充	42	38	90	88	78	25	10
南京	45	34	86	82	70	12	4
南宁	49	33	87	84	72	13	5
南通	27	36	88	85	73	14	5
南阳	45	34	86	83	70	12	4
内江	49	33	87	84	72	13	5
宁波	50	36	88	85	73	14	5
宁德	48	37	89	86	74	12	5
怒江	46	35	87	84	72	13	5
攀枝花	42	38	90	88	78	25	10
盘锦	45	34	86	82	70	12	4
平顶山	49	33	87	84	72	13	5
萍乡	61	36	88	85	73	14	5
莆田	45	34	86	83	70	12	4
濮阳	49	33	87	84	72	13	5
普洱	50	36	88	85	73	14	5
七台河	48	37	89	86	74	12	5
齐齐哈尔	46	35	87	84	72	13	5
潜江	42	38	90	88	78	25	10
黔东南	45	34	86	82	70	12	4
黔南	49	33	87	84	72	13	5
黔西南	50	36	88	85	73	14	5
钦州	50	36	88	85	73	14	5
秦皇岛	45	34	86	83	70	12	4
青岛	49	33	87	84	72	13	5
青木川	50	36	88	85	73	14	5
清远	48	37	89	86	74	12	5
庆阳	46	35	87	84	72	13	5
琼海	42	38	90	88	78	25	10
琼中	45	34	86	82	70	12	4
曲靖	49	33	87	84	72	13	5
衢州	50	36	88	85	73	14	5
泉州	57	36	88	85	73	14	5
日喀则	45	34	86	83	70	12	4
日照	49	33	87	84	72	13	5
三门峡	50	36	88	85	73	14	5
三明	48	37	89	86	74	12	5
三沙	46	35	87	84	72	13	5
三亚	42	38	90	88	78	25	10
厦门	45	34	86	82	70	12	4
山南	49	33	87	84	72	13	5
汕头	50	36	88	85	73	14	5
汕尾	44	38	90	88	78	25	10
商洛	45	34	86	83	70	12	4
商丘	49	33	87	84	72	13	5
上海	50	36	88	85	73	14	5
上饶	48	37	89	86	74	12	5
韶关	46	35	87	84	72	13	5
邵阳	42	38	90	88	78	25	10
绍兴	45	34	86	82	70	12	4
深圳	49	33	87	84	72	13	5
神农架	50	36	88	85	73	14	5
沈阳	42	38	87	84	73	15	6
十堰	45	34	86	83	70	12	4
石河子	49	33	87	84	72	13	5
石家庄	50	36	88	85	73	14	5
石嘴山	48	37	89	86	74	12	5
双鸭山	46	35	87	84	72	13	5
朔州	42	38	90	88	78	25	10
四平	45	34	86	82	70	12	4
松原	49	33	87	84	72	13	5
苏州	50	36	88	85	73	14	5
宿迁	42	38	87	84	73	15	6
宿州	45	34	86	83	70	12	4
绥化	49	33	87	84	72	13	5
随州	50	36	88	85	73	14	5
遂宁	48	37	89	86	74	12	5
塔城	46	35	87	84	72	13	5
台州	42	38	90	88	78	25	10
太湖	45	34	86	82	70	12	4
太原	49	33	87	84	72	13	5
泰安	50	36	88	85	73	14	5
唐山	60	38	87	84	73	15	6
天津	45	34	86	83	70	12	4
天门	49	33	87	84	72	13	5
天水	50	36	88	85	73	14	5
铁岭	48	37	89	86	74	12	5
铁门关	46	35	87	84	72	13	5
通化	42	38	90	88	78	25	10
通辽	45	34	86	82	70	12	4
铜川	49	33	87	84	72	13	5
铜陵	50	36	88	85	73	14	5
铜仁	28	38	87	84	73	15	6
图木舒克	45	34	86	83	70	12	4
吐鲁番	49	33	87	84	72	13	5
屯昌	50	36	88	85	73	14	5
万宁	48	37	89	86	74	12	5
威海	46	35	87	84	72	13	5
潍坊	42	38	90	88	78	25	10
渭南	45	34	86	82	70	12	4
温州	49	33	87	84	72	13	5
文山	50	36	88	85	73	14	5
乌兰察布	36	38	87	84	73	15	6
乌鲁木齐	45	34	86	83	70	12	4
无锡	49	33	87	84	72	13	5
芜湖	50	36	88	85	73	14	5
吴忠	48	37	89	86	74	12	5
梧州	46	35	87	84	72	13	5
五家渠	42	38	90	88	78	25	10
五指山	45	34	86	82	70	12	4
武汉	49	33	87	84	72	13	5
武威	50	36	88	85	73	14	5
西安	68	35	86	84	70	12	4
西双版纳	50	34	88	85	73	14	5
锡林郭勒盟	48	37	89	86	74	12	5
仙桃	46	35	87	84	72	13	5
咸宁	42	38	90	88	78	25	10
咸阳	45	34	86	82	70	12	4
湘潭	49	33	87	84	72	13	5
湘西	50	36	88	85	73	14	5
襄阳	48	37	89	86	74	12	5
孝感	46	35	87	84	72	13	5
忻州	68	38	87	84	73	15	6
新乡	45	34	86	83	70	12	4
新余	49	33	87	84	72	13	5
信阳	50	36	88	85	73	14	5
邢台	48	37	89	86	74	12	5
兴安盟	46	35	87	84	72	13	5
雄安新区	42	38	90	88	78	25	10
徐州	45	34	86	82	70	12	4
许昌	49	33	87	84	72	13	5
宣城	50	36	88	85	73	14	5
雅安	58	35	86	84	70	12	4
烟台	69	34	88	85	73	14	5
延安	48	37	89	86	74	12	5
延边	46	35	87	84	72	13	5
扬州	42	38	90	88	78	25	10
阳江	45	34	86	82	70	12	4
阳泉	49	33	87	84	72	13	5
伊春	50	36	88	85	73	14	5
伊犁	48	37	89	86	74	12	5
宜宾	46	35	87	84	72	13	5
宜昌	121	35	86	84	70	12	4
宜春	45	34	86	83	70	12	4
益阳	49	33	87	84	72	13	5
银川	50	36	88	85	73	14	5
鹰潭	48	37	89	86	74	12	5
营口	46	35	87	84	72	13	5
永州	56	35	86	84	70	12	4
榆林	47	35	87	84	73	15	6
玉林	45	34	86	83	70	12	4
玉溪	49	33	87	84	72	13	5
岳阳	50	36	88	85	73	14	5
云浮	48	37	89	86	74	12	5
运城	62	38	87	84	73	15	6
枣庄	45	34	86	83	70	12	4
湛江	49	33	87	84	72	13	5
张家界	50	36	88	85	73	14	5
张家口	48	37	89	86	74	12	5
